config	seed	checkpoint	blimp_task	accuracy	hidden_size	layers	config_short	num_params
layers_1_hs_384_heads_12_cl_256	0	5	quantifiers	0.729005667181865	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	subject_verb_agreement	0.6390243902439025	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	hypernym	0.5069767441860465	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	qa_congruence_easy	0.578125	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	qa_congruence_tricky	0.34545454545454546	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	subject_aux_inversion	0.8126372285923396	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	turn_taking	0.5928571428571429	384	1	1*384	2365056
layers_1_hs_768_heads_12_cl_256	0	5	anaphor_agreement	0.9519427402862985	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	argument_structure	0.7206595538312318	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	binding	0.6685960225586227	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	control_raising	0.6648254529385771	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	determiner_noun_agreement	0.8703261734287987	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	ellipsis	0.6316397228637414	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	filler_gap	0.6518829754123872	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	irregular_forms	0.9022900763358779	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	island_effects	0.5848281016442451	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	npi_licensing	0.5174612815062253	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	quantifiers	0.7238536836682122	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	subject_verb_agreement	0.6504065040650406	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	hypernym	0.4941860465116279	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	qa_congruence_easy	0.515625	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	qa_congruence_tricky	0.42424242424242425	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	subject_aux_inversion	0.8238594779214442	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	turn_taking	0.6321428571428571	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	anaphor_agreement	0.9304703476482618	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	argument_structure	0.7278128031037827	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	binding	0.6834372217275155	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	control_raising	0.6913389306230667	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	determiner_noun_agreement	0.8778838504375497	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	ellipsis	0.6247113163972287	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	filler_gap	0.642390289449113	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	irregular_forms	0.8844783715012723	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	island_effects	0.5426008968609866	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	npi_licensing	0.5133616762830246	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	quantifiers	0.7586295723853683	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	subject_verb_agreement	0.6538392050587173	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	hypernym	0.48604651162790696	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	qa_congruence_easy	0.53125	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	qa_congruence_tricky	0.2787878787878788	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	subject_aux_inversion	0.8392290802634789	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	turn_taking	0.6642857142857143	768	1	1*768	7089408
layers_1_hs_1536_heads_12_cl_256	0	5	anaphor_agreement	0.9504089979550102	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	argument_structure	0.7199321047526673	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	binding	0.6812110418521816	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	control_raising	0.6648254529385771	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	determiner_noun_agreement	0.8833200742508618	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	ellipsis	0.6299076212471132	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	filler_gap	0.6545284780578898	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	irregular_forms	0.9089058524173028	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	island_effects	0.5874439461883408	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	npi_licensing	0.5608867294260552	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	quantifiers	0.6965481710458526	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	subject_verb_agreement	0.6688346883468834	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	hypernym	0.48255813953488375	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	qa_congruence_easy	0.59375	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	qa_congruence_tricky	0.3878787878787879	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	subject_aux_inversion	0.8106855330568431	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	turn_taking	0.6321428571428571	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	anaphor_agreement	0.9544989775051125	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	argument_structure	0.7139912706110573	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	binding	0.6853665776194716	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	control_raising	0.67454706142289	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	determiner_noun_agreement	0.8834526650755767	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	ellipsis	0.6454965357967667	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	filler_gap	0.6364768129474012	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	irregular_forms	0.8702290076335878	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	island_effects	0.6375186846038864	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	npi_licensing	0.5678712420285454	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	quantifiers	0.7570839773312725	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	subject_verb_agreement	0.6644986449864498	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	hypernym	0.48255813953488375	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	qa_congruence_easy	0.59375	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	qa_congruence_tricky	0.45454545454545453	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	subject_aux_inversion	0.8082459136374726	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	turn_taking	0.5928571428571429	1536	1	1*1536	30693888
layers_2_hs_192_heads_12_cl_256	13	5	anaphor_agreement	0.9544989775051125	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	argument_structure	0.7561833171677983	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	binding	0.6783912140100921	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	control_raising	0.6705700397702166	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	determiner_noun_agreement	0.9089101034208433	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	ellipsis	0.5952655889145496	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	filler_gap	0.6755368814192344	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	irregular_forms	0.9292620865139949	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	island_effects	0.45964125560538116	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	npi_licensing	0.5736410567871242	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	quantifiers	0.7302936630602782	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	subject_verb_agreement	0.7150858175248419	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	hypernym	0.48953488372093024	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	qa_congruence_easy	0.46875	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	qa_congruence_tricky	0.36363636363636365	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	subject_aux_inversion	0.8616735789216882	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	turn_taking	0.6428571428571429	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	anaphor_agreement	0.9320040899795501	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	argument_structure	0.7593355965082444	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	binding	0.6918967052537845	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	control_raising	0.6791869200176757	192	2	2*192	1185024
